,0 0.030832 0.952151 0.0295444 0.0294163
0,0 0.177898 0.87006 0.0347061 0.0373157
1,0 0.956994 0.124212 0.0482027 0.0466028
2,0 0.970251 0.0434847 0.0441578 0.0427364
3,0 0.221658 0.200031 0.0322031 0.028281
4,0 0.407146 0.858065 0.0346545 0.033373
5,0 0.967845 0.187561 0.0278306 0.0312488
6,0 0.911841 0.0539536 0.0263937 0.0288209
7,0 0.945934 0.969484 0.0503605 0.0414203
8,0 0.629486 0.979251 0.0453201 0.0392635
9,0 0.78916 0.0314778 0.0273344 0.0292835
10,0 0.399885 0.0653173 0.0349726 0.0336598
11,0 0.86305 0.45645 0.0365601 0.0381521
12,0 0.106481 0.953632 0.0998996 0.0903256
13,0 0.874011 0.0181735 0.0353518 0.0323252
